"","Prior","TVJ","Expert_aud","Participant"
"1",0.37,0,0,1
"2",0.42,0,0,1
"3",0.43,1,0,1
"4",0.36,0,0,1
"5",0.71,1,0,1
"6",0.43,0,0,1
"7",0.29,0,0,1
"8",0.29,0,0,1
"9",0.83,1,0,1
"10",0.66,1,0,1
"11",0.65,0,0,1
"12",0.25,0,0,1
"13",0.7,1,1,2
"14",0.3,0,1,2
"15",0.59,1,1,2
"16",0.79,1,1,2
"17",0.44,0,1,2
"18",0.31,0,1,2
"19",0.44,0,1,2
"20",0.57,1,1,2
"21",0.67,1,1,2
"22",0.27,0,1,2
"23",0.42,0,1,2
"24",0.49,0,1,2
"25",0.37,1,1,3
"26",0.15,0,1,3
"27",0.09,0,1,3
"28",0.68,1,1,3
"29",0.23,0,1,3
"30",0.56,1,1,3
"31",0.25,0,1,3
"32",0.39,0,1,3
"33",0.11,0,1,3
"34",0.41,1,1,3
"35",0.12,0,1,3
"36",0.54,1,1,3
"37",0.35,0,0,4
"38",0.4,0,0,4
"39",0.2,0,0,4
"40",0.6,1,0,4
"41",0.65,1,0,4
"42",0.3,0,0,4
"43",0.6,1,0,4
"44",0.7,1,0,4
"45",0.3,0,0,4
"46",0.4,0,0,4
"47",0.2,0,0,4
"48",0.6,1,0,4
"49",0.45,0,0,5
"50",0.4,0,0,5
"51",0.55,1,0,5
"52",0.3,0,0,5
"53",0.35,0,0,5
"54",0.45,0,0,5
"55",0.65,1,0,5
"56",0.4,0,0,5
"57",0.5,0,0,5
"58",0.35,0,0,5
"59",0.7,1,0,5
"60",0.75,1,0,5
"61",0.15,0,0,6
"62",0.62,0,0,6
"63",0.84,1,0,6
"64",0.93,1,0,6
"65",0.7,1,0,6
"66",0.57,1,0,6
"67",0.67,1,0,6
"68",0.68,1,0,6
"69",0.69,1,0,6
"70",0.17,0,0,6
"71",0.53,1,0,6
"72",0.51,0,0,6
"73",0.37,0,1,7
"74",0.6,1,1,7
"75",0.25,0,1,7
"76",0.64,0,1,7
"77",0.39,0,1,7
"78",0.63,1,1,7
"79",0.42,0,1,7
"80",0.45,1,1,7
"81",0.43,0,1,7
"82",0.33,0,1,7
"83",0.42,0,1,7
"84",0.62,0,1,7
"85",0.44,0,1,8
"86",0.67,1,1,8
"87",0.27,0,1,8
"88",0.35,0,1,8
"89",0.86,1,1,8
"90",0.71,1,1,8
"91",0.1,0,1,8
"92",0.32,0,1,8
"93",0.7,1,1,8
"94",0.14,0,1,8
"95",0.42,0,1,8
"96",0.13,0,1,8
"97",0.8,1,0,9
"98",0.22,0,0,9
"99",0.38,0,0,9
"100",0.44,0,0,9
"101",0.41,0,0,9
"102",0.25,0,0,9
"103",0.2,0,0,9
"104",0.44,0,0,9
"105",0.47,0,0,9
"106",0.98,1,0,9
"107",0.44,0,0,9
"108",0.91,1,0,9
"109",0.56,1,1,10
"110",0.39,0,1,10
"111",0.59,1,1,10
"112",0.54,1,1,10
"113",0.44,1,1,10
"114",0.53,1,1,10
"115",0.45,0,1,10
"116",0.52,1,1,10
"117",0.48,0,1,10
"118",0.5,0,1,10
"119",0.46,0,1,10
"120",0.55,0,1,10
"121",0.57,0,1,11
"122",0.7,1,1,11
"123",0.81,1,1,11
"124",0.62,1,1,11
"125",0.54,1,1,11
"126",0.68,1,1,11
"127",0.64,1,1,11
"128",0.55,0,1,11
"129",0.62,0,1,11
"130",0.54,1,1,11
"131",0.6,1,1,11
"132",0.53,1,1,11
"133",0.09,0,0,12
"134",0.08,0,0,12
"135",0.53,0,0,12
"136",0.5,0,0,12
"137",0.03,0,0,12
"138",0.71,1,0,12
"139",0.1,0,0,12
"140",0.78,1,0,12
"141",0.73,1,0,12
"142",0.7,1,0,12
"143",0.73,1,0,12
"144",0.54,0,0,12
"145",0.3,0,0,13
"146",0.55,1,0,13
"147",0.8,1,0,13
"148",0.25,0,0,13
"149",0.75,1,0,13
"150",0.15,0,0,13
"151",0.85,1,0,13
"152",0.45,0,0,13
"153",0.05,0,0,13
"154",0.95,1,0,13
"155",0.8,1,0,13
"156",0.2,0,0,13
"157",0.6,0,1,14
"158",0.8,1,1,14
"159",0.75,1,1,14
"160",0.24,0,1,14
"161",0.11,0,1,14
"162",0.18,0,1,14
"163",0.63,1,1,14
"164",0.46,0,1,14
"165",0.38,1,1,14
"166",0.86,1,1,14
"167",0.51,0,1,14
"168",0.15,0,1,14
"169",0.4,0,1,15
"170",0.66,1,1,15
"171",0.81,1,1,15
"172",0.46,0,1,15
"173",0.56,1,1,15
"174",0.4,0,1,15
