,Matchup0_blueIndex,Matchup0_redIndex,Matchup0_Ref,Matchup0_Extreme,Matchup1_blueIndex,Matchup1_redIndex,Matchup1_Ref,Matchup1_Extreme,Matchup2_blueIndex,Matchup2_redIndex,Matchup2_Ref,Matchup2_Extreme,Matchup3_blueIndex,Matchup3_redIndex,Matchup3_Ref,Matchup3_Extreme,Matchup4_blueIndex,Matchup4_redIndex,Matchup4_Ref,Matchup4_Extreme,Matchup5_blueIndex,Matchup5_redIndex,Matchup5_Ref,Matchup5_Extreme,Matchup6_blueIndex,Matchup6_redIndex,Matchup6_Ref,Matchup6_Extreme,Matchup7_blueIndex,Matchup7_redIndex,Matchup7_Ref,Matchup7_Extreme,Matchup8_blueIndex,Matchup8_redIndex,Matchup8_Ref,Matchup8_Extreme,Matchup9_blueIndex,Matchup9_redIndex,Matchup9_Ref,Matchup9_Extreme,Matchup10_blueIndex,Matchup10_redIndex,Matchup10_Ref,Matchup10_Extreme,Matchup11_blueIndex,Matchup11_redIndex,Matchup11_Ref,Matchup11_Extreme,TVJ0_Matchup0,TVJ0_Matchup1,TVJ0_Matchup2,TVJ0_Matchup3,TVJ0_Matchup4,TVJ0_Matchup5,TVJ0_Matchup6,TVJ0_Matchup7,TVJ0_Matchup8,TVJ0_Matchup9,TVJ0_Matchup10,TVJ0_Matchup11,Aud_expertise,Aud_expertise_index,Mid,RT,Prior0_slider0,Prior0_slider1,Prior0_slider2,Prior0_slider3,Prior0_slider4,Prior0_slider5,Prior0_slider6,Prior0_slider7,Prior0_slider8,Prior0_slider9,Prior0_slider10,Prior0_slider11,Interpret0_slider0,Interpret0_slider1,Interpret0_slider2,Interpret0_slider3,Interpret0_slider4,Interpret0_slider5,Interpret0_slider6,Interpret0_slider7,Interpret0_slider8,Interpret0_slider9,Interpret0_slider10,Interpret0_slider11,language,age,gender,education,comments,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,max_extreme,criteria,time_in_minutes,participant_id,Concern_lo,Concern_hi,Concern,Matchup0_good,Matchup1_good,Matchup2_good,Matchup3_good,Matchup4_good,Matchup5_good,Matchup6_good,Matchup7_good,Matchup8_good,Matchup9_good,Matchup10_good,Matchup11_good,nGood
1,84,31,1,0,140,67,1,1,144,2,1,0,17,24,1,1,147,112,0,0,21,97,0,1,116,51,1,1,138,89,0,1,133,52,0,1,61,30,0,0,6,1,1,1,53,69,0,1,0,0,1,0,1,0,0,0,1,1,0,0,new,0,1,85.722,0.37,0.42,0.43,0.36,0.71,0.43,0.29,0.29,0.83,0.66,0.65,0.25,0.57,0.55,0.6,0.62,0.69,0.57,0.52,0.57,0.85,0.68,0.68,0.51,English,19,Male,1,A little unclear on the expert opinion rating question in the context of the survey,Chrome,Windows,800,1200,2013,Diamond,"100-1,000",10-Jun,19-24,0.9,0.85,7.453383333,2,0,0,0,0,-1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0
2,20,40,1,0,103,68,1,0,56,122,0,1,54,59,1,1,96,29,0,0,128,105,1,1,34,33,1,1,16,44,1,1,74,70,0,1,77,94,0,1,101,39,0,0,32,38,0,1,1,0,1,1,0,0,0,1,1,0,0,2,experienced,1,0,81.878,0.7,0.3,0.59,0.79,0.44,0.31,0.44,0.57,0.67,0.27,0.42,0.49,0.61,0.52,0.64,0.78,0.54,0.44,0.49,0.64,0.71,0.49,0.51,0.7,English,29,Male,3,NA,Chrome,Linux,740,360,2018,Platinum,"100-1,000",10-Jun,19-24,0.66,0.93,8.0243,3,0,0,0,0,0,1,1,0,-1,-1,1,-1,-1,0,1,4
3,133,52,1,1,61,30,1,0,89,138,1,1,51,116,1,1,144,2,0,0,84,31,0,0,17,24,1,1,67,140,0,1,69,53,0,1,21,97,0,1,6,1,0,1,147,112,1,0,1,0,0,1,0,1,0,0,0,1,0,1,experienced,1,1,134.626,0.37,0.15,0.09,0.68,0.23,0.56,0.25,0.39,0.11,0.41,0.12,0.54,0.64,0.46,0.37,0.71,0.15,0.48,0.27,0.21,0.12,0.47,0.36,0.53,NA,23,Male,2,NA,Safari,iPhone/iPod,667,375,2012,Master,0-10,21-40,0-6,0.66,0.66,8.84755,4,0,0,0,1,0,-1,1,0,0,-1,-1,1,-1,1,0,4
4,61,30,1,0,1,6,1,1,97,21,1,1,138,89,0,1,112,147,1,0,67,140,1,1,144,2,0,0,84,31,0,0,53,69,0,1,24,17,0,1,52,133,0,1,51,116,1,1,0,0,0,1,1,0,1,1,0,0,0,1,new,0,1,97.234,0.35,0.4,0.2,0.6,0.65,0.3,0.6,0.7,0.3,0.4,0.2,0.6,0.55,0.45,0.4,0.7,0.8,0.6,0.65,0.75,0.55,0.6,0.6,0.7,English,29,Male,3,NA,Chrome,Windows,1080,1920,2013,Gold,"100-1,000",5-Mar,12-Jul,0.9,0.75,6.15275,5,0,0,0,0,1,-1,-1,0,1,0,0,-1,-1,1,1,4
5,39,101,1,0,44,16,0,1,40,20,0,0,56,122,1,1,33,34,0,1,103,68,1,0,32,38,0,1,96,29,0,0,70,74,1,1,54,59,0,1,105,128,1,1,77,94,1,1,0,0,1,0,0,0,1,0,2,0,1,1,new,0,0,126.434,0.45,0.4,0.55,0.3,0.35,0.45,0.65,0.4,0.5,0.35,0.7,0.75,0.7,0.7,0.75,0.6,0.6,0.6,0.7,0.65,0.7,0.6,0.75,0.75,NA,33,Male,3,NA,Firefox,Windows,1080,1920,2011,Platinum,"100-1,000",0,13-18,0.9,0.6,7.771833333,6,0,0,0,0,1,0,-1,-1,0,1,0,-1,-1,1,1,4
6,147,112,0,0,69,53,0,1,31,84,1,0,133,52,0,1,6,1,0,1,67,140,1,1,2,144,1,0,97,21,0,1,61,30,0,0,17,24,1,1,116,51,1,1,138,89,1,1,0,2,1,1,1,1,1,1,1,0,1,0,new,0,1,111.034,0.15,0.62,0.84,0.93,0.7,0.57,0.67,0.68,0.69,0.17,0.53,0.51,0.74,0.71,0.82,0.86,0.86,0.73,0.8,0.86,0.91,0.64,0.6,0.63,English,21,Male,4,"There are some exceptions to be made for champs such as Ornn who don’t need to back as regularly or champs with lifesteal and no mana such as Morde, who might have a weaker laning potential but should still come out on top of cs.",Safari,iPhone/iPod,812,375,2012,Gold,"1,000-10,000",20-Nov,19-24,0.9,0.7,9.8699,7,0,0,0,0,1,0,-1,1,1,0,1,0,-1,-1,1,5
7,20,40,1,0,70,74,1,1,105,128,1,1,54,59,1,1,68,103,1,0,77,94,1,1,34,33,0,1,56,122,0,1,16,44,0,1,39,101,0,0,29,96,0,0,38,32,0,1,0,1,0,0,0,1,0,1,0,0,0,0,experienced,1,0,53.389,0.37,0.6,0.25,0.64,0.39,0.63,0.42,0.45,0.43,0.33,0.42,0.62,0.72,0.72,0.67,0.67,0.73,0.73,0.72,0.68,0.71,0.73,0.73,0.72,English,20,Male,3,NA,Chrome,Linux,640,360,2013,Gold,"100-1,000",20-Nov,13-18,0.85,0.65,5.455716667,8,0,0,0,0,-1,1,1,0,1,1,1,-1,0,0,-1,5
8,44,16,0,1,68,103,1,0,20,40,1,0,29,96,0,0,77,94,1,1,122,56,1,1,70,74,0,1,59,54,1,1,101,39,0,0,128,105,1,1,32,38,0,1,33,34,0,1,0,1,0,0,1,1,0,0,1,0,0,0,experienced,1,0,128.469,0.44,0.67,0.27,0.35,0.86,0.71,0.1,0.32,0.7,0.14,0.42,0.13,0.63,0.68,0.66,0.67,0.79,0.72,0.64,0.69,0.75,0.59,0.59,0.64,German,29,Male,3,"Some of these matchups are really jungle dependent. Thinking laning Phase is about 1v1 ing your opponent is just wrong. It’s all about waves, priority and playing around your jungler. Looking at these matchups isolated is possible but kinda pointless, for example Camille-Jax matchup or irelia-Darius. How far one of them gets ahead really depends on whose Jungler is around and how cocky can you play.",Safari,iPhone/iPod,812,375,2012,Master,10-100,21-40,19-24,0.74,0.62,16.70721667,9,0,0,0,1,0,0,0,1,1,1,-1,0,-1,1,-1,5
9,116,51,1,1,147,112,1,0,133,52,1,1,24,17,0,1,21,97,0,1,69,53,1,1,138,89,1,1,67,140,0,1,144,2,1,0,84,31,0,0,6,1,0,1,61,30,0,0,1,0,0,2,0,0,0,2,0,1,2,1,new,0,1,67.566,0.8,0.22,0.38,0.44,0.41,0.25,0.2,0.44,0.47,0.98,0.44,0.91,0.79,0.8,0.79,0.83,0.8,0.8,0.85,0.86,0.84,0.84,0.86,0.77,croatian,18,Female,1,NA,Chrome,Linux,771,360,2014,Diamond,"1,000-10,000",21-40,0-6,0.9,0.69,6.759,10,0,0,0,-1,0,1,-1,-1,-1,1,-1,0,0,1,0,3
10,2,144,0,0,140,67,1,1,69,53,0,1,31,84,1,0,89,138,0,1,147,112,1,0,17,24,1,1,61,30,0,0,97,21,0,1,6,1,1,1,52,133,0,1,116,51,1,1,1,0,1,1,1,1,0,1,0,2,0,0,experienced,1,1,117.712,0.56,0.39,0.59,0.54,0.44,0.53,0.45,0.52,0.48,0.5,0.46,0.55,0.69,0.86,0.77,0.8,0.81,0.7,0.73,0.71,0.7,0.76,0.74,0.71,NA,33,Male,4,NA,Safari,iPhone/iPod,896,414,2010,Platinum,"1,000-10,000",21-40,19-24,0.24,0.82,8.360383333,11,0,0,0,0,-1,1,0,1,0,-1,0,1,-1,1,-1,4
