click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,background_RT,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,time_in_minutes,participant_id,criteria_early,criteria_late,hierarch_early,hierarch_late
0,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,0,0,0,,,,,,,,,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
1,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,0,0,0,1,0,,,,,,,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
2,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,0,0,0,1,0,0.58,0.38,0.5,,,,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
3,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,0,0,0,1,0,0.58,0.38,0.5,0.57,,,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
4,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,0,0,0,1,0,0.58,0.38,0.5,0.57,0.7,99.413,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
5,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,0,,,,,,,,99.413,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
6,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,0,1,0,,,,,,99.413,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
7,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,0,1,0,0.56,0.59,0.62,,,99.413,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
8,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,0,1,0,0.56,0.59,0.62,0.42,,99.413,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
9,133,Vladimir,0.0201,92,Rammus,0.02,140,Yasuo,0.0507,46,Jhin,0.0642,130,Vel'Koz,0.0167,0,1,0,1,0,0.56,0.59,0.62,0.42,0.47,60.447,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
10,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,,,,,,,,60.447,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
11,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,,,,,,60.447,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
12,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.78,0.78,,,60.447,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
13,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.78,0.78,0.81,,60.447,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
14,16,Camille,0.0162,62,Lee Sin,0.1486,86,Pantheon,0.0121,65,Lucian,0.0694,11,Bard,0.0368,1,0,0,1,1,0.8,0.78,0.78,0.81,0.79,43.608,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
15,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,1,0,,,,,,,,43.608,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
16,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,1,0,0,1,,,,,,43.608,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
17,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,1,0,0,1,0.25,0.6,0.43,,,43.608,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
18,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,1,0,0,1,0.25,0.6,0.43,0.34,,43.608,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
19,118,Teemo,0.0168,36,Graves,0.0375,61,LeBlanc,0.0332,73,Miss Fortune,0.0964,100,Senna,0.1068,0,1,0,0,1,0.25,0.6,0.43,0.34,0.7,44.328,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
20,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,0,,,,,,,,44.328,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
21,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,0,0,0,,,,,,44.328,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
22,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,0,0,0,0.27,0.34,0.42,,,44.328,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
23,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,0,0,0,0.27,0.34,0.42,0.32,,44.328,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
24,54,Kayle,0.0139,44,Jax,0.0221,21,Diana,0.0412,73,Miss Fortune,0.0964,66,Lulu,0.0534,0,0,0,0,0,0.27,0.34,0.42,0.32,0.41,48.872,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
25,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,1,0,,,,,,,,48.872,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
26,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,1,0,0,1,,,,,,48.872,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
27,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,1,0,0,1,0.17,0.53,0.35,,,48.872,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
28,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,1,0,0,1,0.17,0.53,0.35,0.16,,48.872,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
29,33,Garen,0.0603,71,Master Yi,0.0537,130,Vel'Koz,0.0133,46,Jhin,0.0642,76,Nami,0.0652,1,1,0,0,1,0.17,0.53,0.35,0.16,0.54,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
30,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,,,,,,,,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
31,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,1,1,,,,,,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
32,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,1,1,0.69,0.72,0.67,,,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
33,59,Kled,0.0147,83,Olaf,0.0411,89,Qiyana,0.0188,46,Jhin,0.0642,142,Yuumi,0.0784,1,0,0,1,1,0.69,0.72,0.67,0.55,,26.479,english,22,Female,2,65.553,Chrome,Windows,768,1366,0,-1,-1,-1,-1,11.61468333,2,,,,
