Comp,CompType,EarlyResponse,LateResponse,SpeakerEarly,SpeakerLate,TransformEarly,TransformLate,ParticipantID,EarlyTVJ,LateTVJ,EarlyPrior,LatePrior,GenPrior,EarlyShift,LateShift,CompBorderline,Participant,UnextremeEarly,UnextremeLate,ProbitEarly,ProbitLate,FromSpeakerEarly,FromSpeakerLate
7,4,0.57,0.7,0,0,0.07,0.2,2,1,0,0.58,0.38,0.5,-0.01,0.32,1,1,0.57,0.7,0.176374165,0.524400513,0.57,0.7
4,2,0.42,0.47,0,1,0.08,0.03,2,1,0,0.56,0.59,0.62,-0.14,0.09,2,1,0.42,0.47,-0.201893479,-0.075269862,0.42,0.53
12,6,0.81,0.79,1,0,0.31,0.29,2,1,1,0.8,0.78,0.78,0.01,0.41,3,1,0.81,0.79,0.877896295,0.806421247,0.19,0.79
11,6,0.34,0.7,0,1,0.16,0.2,2,0,1,0.25,0.6,0.43,0.09,0.32,3,1,0.34,0.7,-0.412463129,0.524400513,0.34,0.3
6,3,0.32,0.41,0,0,0.18,0.09,2,0,0,0.27,0.34,0.42,0.05,0.03,3,1,0.32,0.41,-0.467698799,-0.227544977,0.32,0.41
9,5,0.16,0.54,1,1,0.34,0.04,2,0,1,0.17,0.53,0.35,-0.01,0.16,2,1,0.16,0.54,-0.994457883,0.100433721,0.84,0.46
2,1,0.55,0.62,1,0,0.05,0.12,2,1,1,0.69,0.72,0.67,-0.14,0.24,1,1,0.55,0.62,0.125661347,0.305480788,0.45,0.62
5,3,0.63,0.74,1,1,0.13,0.24,2,1,1,0.87,0.8,0.89,-0.24,0.36,3,1,0.63,0.74,0.331853346,0.643345405,0.37,0.26
8,4,0.23,0.64,1,1,0.27,0.14,2,0,1,0.32,0.65,0.48,-0.09,0.26,1,1,0.23,0.64,-0.738846849,0.358458793,0.77,0.36
10,5,0.19,0.32,0,0,0.31,0.18,2,0,0,0.16,0.34,0.26,0.03,-0.06,2,1,0.19,0.32,-0.877896295,-0.467698799,0.19,0.32
3,2,0.65,0.58,1,0,0.15,0.08,2,1,1,0.8,0.77,0.65,-0.15,0.2,2,1,0.65,0.58,0.385320466,0.201893479,0.35,0.58
1,1,0.74,0.65,0,1,0.24,0.15,2,1,1,0.77,0.91,0.64,-0.03,0.27,1,1,0.74,0.65,0.643345405,0.385320466,0.74,0.35
3,2,0.8,0.8,1,1,0.3,0.3,4,1,1,0.5,0.33,0.65,0.3,0.42,2,2,0.8,0.8,0.841621234,0.841621234,0.2,0.2
10,5,0.43,0.8,0,1,0.07,0.3,4,1,1,0.71,0.71,0.82,-0.28,0.42,2,2,0.43,0.8,-0.176374165,0.841621234,0.43,0.2
4,2,0.33,0.26,0,0,0.17,0.24,4,1,0,0.58,0.44,0.5,-0.25,-0.12,2,2,0.33,0.26,-0.439913166,-0.643345405,0.33,0.26
2,1,0.79,0.92,1,1,0.29,0.42,4,1,1,0.62,0.86,0.68,0.17,0.54,1,2,0.79,0.92,0.806421247,1.40507156,0.21,0.08
1,1,0.36,0.35,0,0,0.14,0.15,4,1,1,0.75,0.75,0.55,-0.39,-0.03,1,2,0.36,0.35,-0.358458793,-0.385320466,0.36,0.35
6,3,0.27,0.21,0,0,0.23,0.29,4,1,0,0.73,0.52,0.45,-0.46,-0.17,3,2,0.27,0.21,-0.612812991,-0.806421247,0.27,0.21
8,4,0.67,0.31,1,0,0.17,0.19,4,1,1,0.61,0.63,0.54,0.06,-0.07,1,2,0.67,0.31,0.439913166,-0.495850347,0.33,0.31
7,4,0.28,0.29,0,1,0.22,0.21,4,1,1,0.61,0.6,0.51,-0.33,-0.09,1,2,0.28,0.29,-0.582841507,-0.55338472,0.28,0.71
5,3,0.54,0.58,1,1,0.04,0.08,4,1,1,0.47,0.48,0.47,0.07,0.2,3,2,0.54,0.58,0.100433721,0.201893479,0.46,0.42
11,6,0.36,0.86,0,1,0.14,0.36,4,1,1,0.54,0.54,0.54,-0.18,0.48,3,2,0.36,0.86,-0.358458793,1.080319341,0.36,0.14
9,5,0.81,0.78,1,0,0.31,0.28,4,1,1,0.49,0.48,0.49,0.32,0.4,2,2,0.81,0.78,0.877896295,0.772193214,0.19,0.78
12,6,0.78,0.79,1,0,0.28,0.29,4,1,1,0.65,0.65,0.64,0.13,0.41,3,2,0.78,0.79,0.772193214,0.806421247,0.22,0.79
2,1,0.02,0.99,0,0,0.48,0.49,5,1,0,0.77,0.53,0.83,-0.75,0.61,1,3,0.02,0.99,-2.053748911,2.326347874,0.02,0.99
10,5,0.98,1,1,0,0.48,0.5,5,1,1,0.83,0.75,0.87,0.15,0.62,2,3,0.98,0.999,2.053748911,3.090232306,0.02,1
6,3,0.99,1,0,1,0.49,0.5,5,0,0,0.19,0.13,0.24,0.8,0.62,3,3,0.99,0.999,2.326347874,3.090232306,0.99,0
7,4,1,1,0,0,0.5,0.5,5,1,0,0.86,0.39,0.77,0.14,0.62,1,3,0.999,0.999,3.090232306,3.090232306,1,1
11,6,0.85,0.96,0,1,0.35,0.46,5,0,1,0.17,0.59,0.68,0.68,0.58,3,3,0.85,0.96,1.036433389,1.750686071,0.85,0.04
9,5,0.89,0.87,0,1,0.39,0.37,5,1,1,0.82,0.87,0.94,0.07,0.49,2,3,0.89,0.87,1.22652812,1.126391129,0.89,0.13
8,4,0.86,0.92,1,1,0.36,0.42,5,0,1,0.34,0.79,0.69,0.52,0.54,1,3,0.86,0.92,1.080319341,1.40507156,0.14,0.08
3,2,0.87,0.89,0,0,0.37,0.39,5,1,1,0.82,0.74,0.88,0.05,0.51,2,3,0.87,0.89,1.126391129,1.22652812,0.87,0.89
5,3,0.82,0.76,1,0,0.32,0.26,5,0,1,0.24,0.79,0.71,0.58,0.38,3,3,0.82,0.76,0.915365088,0.706302563,0.18,0.76
4,2,0.91,0.95,1,1,0.41,0.45,5,1,1,0.89,0.93,1,0.02,0.57,2,3,0.91,0.95,1.340755034,1.644853627,0.09,0.05
12,6,0.9,0.91,1,0,0.4,0.41,5,1,1,0.87,0.9,0.93,0.03,0.53,3,3,0.9,0.91,1.281551566,1.340755034,0.1,0.91
1,1,0.86,0.92,1,1,0.36,0.42,5,0,1,0.27,0.89,0.71,0.59,0.54,1,3,0.86,0.92,1.080319341,1.40507156,0.14,0.08
6,3,0.99,0.02,1,0,0.49,0.48,7,1,0,0.93,0.74,0.92,0.06,-0.36,3,4,0.99,0.02,2.326347874,-2.053748911,0.01,0.02
11,6,0.97,0.03,1,0,0.47,0.47,7,1,0,0.95,0.03,0.93,0.02,-0.35,3,4,0.97,0.03,1.880793608,-1.880793608,0.03,0.03
12,6,0.94,0.96,0,1,0.44,0.46,7,1,0,0.98,0.15,0.98,-0.04,0.58,3,4,0.94,0.96,1.554773595,1.750686071,0.94,0.04
