Prior,Interpretation,Participant,Composition,Early,psi_Sep,phi_Sep,alpha_Sep,beta_Sep,psi_Joint,phi_Joint,alpha_Joint,beta_Joint,psi_alphaSep,phi_alphaSep,alpha_alphaSep,beta_alphaSep
0.4,0.55,1,4,1,0.05433333333333333,0.15524926309480747,-0.021641586441876248,0.591823392569889,0.033,0.129848263148875,-0.007177133186767073,0.5876398245469673,NA,NA,NA,NA
0.3,0.55,1,3,1,0.01,NA,NA,NA,0.005333333333333333,NA,NA,NA,NA,NA,NA,NA
0.3,0.6,1,5,1,0.005,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA
0.35,0.6,1,1,1,0.013,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA
0.59,0.57,2,5,1,0.247,NA,NA,NA,0.31166666666666665,NA,NA,NA,NA,NA,NA,NA
0.26,0.53,2,4,1,0.02266666666666667,NA,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA
0.33,0.39,2,3,1,0.416,NA,NA,NA,0.5293333333333333,NA,NA,NA,NA,NA,NA,NA
0.21,0.1,3,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
0.53,0.72,3,5,1,0.073,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
0.36,0.66,3,4,1,0.012333333333333333,NA,NA,NA,0.004333333333333333,NA,NA,NA,NA,NA,NA,NA
0.15,0.65,4,4,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
0.2,0.55,5,3,1,0.0026666666666666666,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
0.3,0.61,6,5,1,0.006,NA,NA,NA,0.0033333333333333335,NA,NA,NA,NA,NA,NA,NA
0.28,0.23,7,5,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
0.4,0.41,7,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
0.71,0.71,7,6,1,0.7383333333333333,NA,NA,NA,0.7023333333333334,NA,NA,NA,NA,NA,NA,NA
0.42,0.6,8,6,1,0.44633333333333336,NA,NA,NA,0.13933333333333334,NA,NA,NA,NA,NA,NA,NA
0.14,0.27,8,4,1,0.9996666666666667,NA,NA,NA,0.9986666666666667,NA,NA,NA,NA,NA,NA,NA
0.09,0.15,8,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
0.14,0.48,8,5,1,0.37266666666666665,NA,NA,NA,0.03666666666666667,NA,NA,NA,NA,NA,NA,NA
0.36,0.37,9,2,1,0.915,NA,NA,NA,0.9036666666666666,NA,NA,NA,NA,NA,NA,NA
0.39,0.26,9,5,1,0.984,NA,NA,NA,0.9696666666666667,NA,NA,NA,NA,NA,NA,NA
0.4,0.42,9,3,1,0.6886666666666666,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA
0.39,0.27,9,6,1,0.9953333333333333,NA,NA,NA,0.989,NA,NA,NA,NA,NA,NA,NA
0.4,0.6,10,4,1,0.18166666666666667,NA,NA,NA,0.048,NA,NA,NA,NA,NA,NA,NA
0.35,0.5,10,3,1,0.6616666666666666,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,NA
0.5,0.7,10,5,1,0.12566666666666668,NA,NA,NA,0.035333333333333335,NA,NA,NA,NA,NA,NA,NA
0.41,0.55,10,2,1,0.6843333333333333,NA,NA,NA,0.4493333333333333,NA,NA,NA,NA,NA,NA,NA
0.5,0.5,11,2,1,0.941,NA,NA,NA,0.988,NA,NA,NA,NA,NA,NA,NA
