click,blueTopIndex,blueTopName,blueTopPlay,blueJungleIndex,blueJungleName,blueJunglePlay,blueMidIndex,blueMidName,blueMidPlay,blueBotIndex,blueBotName,blueBotPlay,blueSupportIndex,blueSupportName,blueSupportPlay,speaker_early_index,speaker_late_index,ChampFam,TVJearly,TVJlate,blue_excel_early,blue_excel_late,blue_excel_general,speaker_excel_early,speaker_excel_late,RT,language,age,gender,education,Browser,OS,screenH,screenW,year_started,league_level,hours_total,games_weekly,champfam_total,criteria_early,criteria_late,hierarch_early,hierarch_late,time_in_minutes,participant_id
0,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,5,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
1,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,5,1,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
2,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,5,1,1,0.65,0.55,0.6,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
3,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,5,1,1,0.65,0.55,0.6,0.65,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
4,40,Irelia,0.0226,62,Lee Sin,0.1486,24,Ekko,0.0238,15,Caitlyn,0.0932,12,Blitzcrank,0.0593,0,0,5,1,1,0.65,0.55,0.6,0.65,0.5,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
5,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,4,,,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
6,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,4,0,1,,,,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
7,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,4,0,1,0.4,0.65,0.6,,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
8,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,4,0,1,0.4,0.65,0.6,0.55,,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
9,68,Malphite,0.0223,36,Graves,0.0375,84,Orianna,0.0217,124,Twitch,0.012,11,Bard,0.0368,1,1,4,0,1,0.4,0.65,0.6,0.55,0.65,,English,21,Other,2,Chrome,Windows,864,1536,2014,Silver,"100-1,000",10-Jun,91-120,0.8,0.65,0.6,0.65,17.38901667,1
