"","Comp","CompType","EarlyResponse","LateResponse","SpeakerEarly","SpeakerLate","TransformEarly","TransformLate","ParticipantID","EarlyTVJ","LateTVJ","EarlyPrior","LatePrior","GenPrior","EarlyShift","LateShift","CompBorderline","Skill","ChampFam","ChampFam_total","Participant","UnextremeEarly","UnextremeLate","ProbitEarly","ProbitLate","Skill_Index","ChampFam_total_index","AgreeEarly","AgreeLate","Early_psi_bern","Late_psi_bern"
"1",1,1,0.65,0.5,0,0,0.15,0,1,1,1,0.65,0.55,0.6,0,-0.05,1,"Silver",5,"91-120",1,0.65,0.5,0.385320466407568,0,1,4,99,99,0,0
"2",7,4,0.55,0.65,1,1,0.05,0.15,1,0,1,0.4,0.65,0.6,0.15,0,1,"Silver",4,"91-120",1,0.55,0.65,0.125661346855074,0.385320466407568,1,4,0,1,0.024,0
"3",3,2,0.7,0.35,1,0,0.2,0.15,1,1,0,0.7,0.45,0.55,0,-0.1,2,"Silver",5,"91-120",1,0.7,0.35,0.524400512708041,-0.385320466407568,1,4,1,99,0,0
"4",5,3,0.55,0.4,1,0,0.05,0.1,1,0,1,0.3,0.6,0.45,0.25,-0.2,3,"Silver",4,"91-120",1,0.55,0.4,0.125661346855074,-0.2533471031358,1,4,0,99,0.000666666666666667,0
"5",6,3,0.5,0.75,0,1,0,0.25,1,1,1,0.65,0.75,0.65,-0.15,0,3,"Silver",5,"91-120",1,0.5,0.75,0,0.674489750196082,1,4,99,1,0,0
"6",10,5,0.35,0.65,0,1,0.15,0.15,1,1,0,0.65,0.4,0.55,-0.3,0.25,2,"Silver",5,"91-120",1,0.35,0.65,-0.385320466407568,0.385320466407568,1,4,99,0,0,0.00133333333333333
"7",8,4,0.35,0.5,0,0,0.15,0,1,1,1,0.4,0.65,0.55,-0.05,-0.15,1,"Silver",4,"91-120",1,0.35,0.5,-0.385320466407568,0,1,4,99,99,0,0
"8",11,6,0.25,0.15,0,0,0.25,0.35,1,0,0,0.45,0.35,0.4,-0.2,-0.2,3,"Silver",4,"91-120",1,0.25,0.15,-0.674489750196082,-1.03643338949379,1,4,99,99,0,0
"9",9,5,0.6,0.3,1,0,0.1,0.2,1,0,1,0.3,0.5,0.45,0.3,-0.2,2,"Silver",5,"91-120",1,0.6,0.3,0.2533471031358,-0.524400512708041,1,4,0,99,0,0
"10",12,6,0.7,0.55,1,1,0.2,0.05,1,1,0,0.7,0.4,0.55,0,0.15,3,"Silver",5,"91-120",1,0.7,0.55,0.524400512708041,0.125661346855074,1,4,1,0,0,0.019
"11",2,1,0.6,0.7,1,1,0.1,0.2,1,0,1,0.35,0.7,0.5,0.25,0,1,"Silver",4,"91-120",1,0.6,0.7,0.2533471031358,0.524400512708041,1,4,0,1,0.00133333333333333,0
"12",4,2,0.4,0.65,0,1,0.1,0.15,1,1,1,0.6,0.7,0.65,-0.2,-0.0499999999999999,2,"Silver",5,"91-120",1,0.4,0.65,-0.2533471031358,0.385320466407568,1,4,99,1,0,0
"13",5,3,0.37,0.68,0,1,0.13,0.18,2,1,1,0.47,0.88,0.81,-0.1,-0.2,3,"Gold",5,"121-150",2,0.37,0.68,-0.331853346436817,0.467698799114508,2,5,99,1,0,0
"14",1,1,0.65,0.16,1,1,0.15,0.34,2,1,0,0.75,0.34,0.52,-0.1,-0.18,1,"Gold",5,"121-150",2,0.65,0.16,0.385320466407568,-0.994457883209753,2,5,1,0,0,0.991666666666667
"15",10,5,0.57,0.21,1,0,0.07,0.29,2,0,0,0.59,0.4,0.25,-0.02,-0.19,2,"Gold",5,"121-150",2,0.57,0.21,0.176374164780861,-0.80642124701824,2,5,0,99,0.33,0
"16",8,4,0.73,0.48,0,0,0.23,0.02,2,0,1,0.39,0.76,0.76,0.34,-0.28,1,"Gold",5,"121-150",2,0.73,0.48,0.612812991016627,-0.0501535834647337,2,5,99,99,0,0
"17",7,4,0.53,0.57,1,1,0.03,0.07,2,0,1,0.26,0.87,0.67,0.27,-0.3,1,"Gold",5,"121-150",2,0.53,0.57,0.0752698620998299,0.176374164780861,2,5,0,1,0.000666666666666667,0
"18",9,5,0.53,0.55,0,1,0.03,0.05,2,1,0,0.73,0.28,0.39,-0.2,0.27,2,"Gold",5,"121-150",2,0.53,0.55,0.0752698620998299,0.125661346855074,2,5,99,0,0,0.000666666666666667
"19",12,6,0.42,0.52,1,1,0.08,0.02,2,1,0,0.77,0.35,0.53,-0.35,0.17,3,"Gold",5,"121-150",2,0.42,0.52,-0.201893479141851,0.0501535834647337,2,5,1,0,0,0.0433333333333333
"20",11,6,0.48,0.64,0,0,0.02,0.14,2,1,0,0.7,0.4,0.52,-0.22,0.24,3,"Gold",5,"121-150",2,0.48,0.64,-0.0501535834647337,0.358458793251194,2,5,99,99,0,0
"21",2,1,0.44,0.63,0,0,0.06,0.13,2,0,1,0.24,0.69,0.49,0.2,-0.0599999999999999,1,"Gold",5,"121-150",2,0.44,0.63,-0.150969215496777,0.331853346436817,2,5,99,99,0,0
"22",4,2,0.57,0.35,1,0,0.07,0.15,2,1,1,0.69,0.82,0.6,-0.12,-0.47,2,"Gold",5,"121-150",2,0.57,0.35,0.176374164780861,-0.385320466407568,2,5,1,99,0,0
"23",3,2,0.41,0.53,0,1,0.09,0.03,2,0,0,0.5,0.49,0.36,-0.09,0.04,2,"Gold",5,"121-150",2,0.41,0.53,-0.227544976641149,0.0752698620998299,2,5,99,0,0,0.285666666666667
"24",6,3,0.39,0.67,1,0,0.11,0.17,2,0,1,0.33,0.69,0.69,0.06,-0.0199999999999999,3,"Gold",5,"121-150",2,0.39,0.67,-0.279319034447454,0.439913165673234,2,5,0,99,0.444333333333333,0
"25",5,3,0.54,0.22,1,0,0.04,0.28,3,1,1,0.71,0.74,0.6,-0.17,-0.52,3,"Gold",5,"91-120",3,0.54,0.22,0.10043372051147,-0.772193214188685,2,4,1,99,0,0
"26",3,2,0.1,0.11,1,1,0.4,0.39,3,0,0,0.21,0.43,0.37,-0.11,-0.32,2,"Gold",5,"91-120",3,0.1,0.11,-1.2815515655446,-1.22652812003661,2,4,0,0,1,1
"27",2,1,0.47,0.38,0,0,0.03,0.12,3,1,1,0.87,0.73,0.81,-0.4,-0.35,1,"Gold",5,"91-120",3,0.47,0.38,-0.0752698620998299,-0.305480788099397,2,4,99,99,0,0
"28",10,5,0.72,0.34,1,0,0.22,0.16,3,0,1,0.53,0.67,0.57,0.19,-0.33,2,"Gold",5,"91-120",3,0.72,0.34,0.582841507271216,-0.412463129441405,2,4,0,99,0.0363333333333333,0
"29",7,4,0.31,0.37,0,0,0.19,0.13,3,1,1,0.81,0.69,0.75,-0.5,-0.32,1,"Gold",5,"91-120",3,0.31,0.37,-0.495850347347453,-0.331853346436817,2,4,99,99,0,0
"30",11,6,0.73,0.29,1,0,0.23,0.21,3,1,0,0.85,0.57,0.68,-0.12,-0.28,3,"Gold",5,"91-120",3,0.73,0.29,0.612812991016627,-0.553384719555673,2,4,1,99,0,0
"31",6,3,0.33,0.72,0,1,0.17,0.22,3,0,1,0.41,0.71,0.62,-0.08,0.01,3,"Gold",5,"91-120",3,0.33,0.72,-0.439913165673234,0.582841507271216,2,4,99,1,0,0
"32",12,6,0.22,0.68,0,1,0.28,0.18,3,0,0,0.26,0.26,0.64,-0.04,0.42,3,"Gold",5,"91-120",3,0.22,0.68,-0.772193214188685,0.467698799114508,2,4,99,0,0,0
"33",8,4,0.66,0.64,1,1,0.16,0.14,3,0,0,0.36,0.3,0.34,0.3,0.34,1,"Gold",5,"91-120",3,0.66,0.64,0.412463129441405,0.358458793251194,2,4,0,0,0.000333333333333333,0
"34",1,1,0.82,0.72,1,1,0.32,0.22,3,1,1,0.84,0.75,0.81,-0.02,-0.03,1,"Gold",5,"91-120",3,0.82,0.72,0.915365087842814,0.582841507271216,2,4,1,1,0,0
"35",4,2,0.4,0.44,0,0,0.1,0.06,3,1,1,0.81,0.69,0.76,-0.41,-0.25,2,"Gold",5,"91-120",3,0.4,0.44,-0.2533471031358,-0.150969215496777,2,4,99,99,0,0
"36",9,5,0.47,0.63,0,1,0.03,0.13,3,1,0,0.74,0.41,0.67,-0.27,0.22,2,"Gold",5,"91-120",3,0.47,0.63,-0.0752698620998299,0.331853346436817,2,4,99,0,0,0.00633333333333333
"37",2,1,0.55,0.03,1,0,0.05,0.47,4,1,0,0.75,0,0.2,-0.2,0.03,1,"Gold",5,"121-150",4,0.55,0.03,0.125661346855074,-1.88079360815125,2,5,1,99,0,0
"38",6,3,0.15,0.95,0,1,0.35,0.45,4,0,1,0.2,0.9,0.4,-0.05,0.0499999999999999,3,"Gold",5,"121-150",4,0.15,0.95,-1.03643338949379,1.64485362695147,2,5,99,1,0,0
"39",8,4,0.65,0.7,1,1,0.15,0.2,4,0,0,0.15,0.3,0.25,0.5,0.4,1,"Gold",5,"121-150",4,0.65,0.7,0.385320466407568,0.524400512708041,2,5,0,0,0,0
"40",10,5,0.8,0.05,1,0,0.3,0.45,4,1,0,0.65,0.05,0.4,0.15,0,2,"Gold",5,"121-150",4,0.8,0.05,0.841621233572914,-1.64485362695147,2,5,1,99,0,0
"41",9,5,0.2,0.75,0,1,0.3,0.25,4,1,1,0.8,0.8,0.7,-0.6,-0.05,2,"Gold",5,"121-150",4,0.2,0.75,-0.841621233572914,0.674489750196082,2,5,99,1,0,0
"42",5,3,0.7,0.4,1,0,0.2,0.1,4,1,1,0.65,0.85,0.75,0.0499999999999999,-0.45,3,"Gold",5,"121-150",4,0.7,0.4,0.524400512708041,-0.2533471031358,2,5,1,99,0,0
"43",1,1,0.3,0.65,0,1,0.2,0.15,4,1,0,0.8,0.45,0.6,-0.5,0.2,1,"Gold",5,"121-150",4,0.3,0.65,-0.524400512708041,0.385320466407568,2,5,99,0,0,0.005
"44",3,2,0.2,0,0,0,0.3,0.5,4,1,0,0.85,0.05,0.26,-0.65,-0.05,2,"Gold",5,"121-150",4,0.2,0.001,-0.841621233572914,-3.09023230616781,2,5,99,99,0,0
